2019-05-14 14:52:59 [main-270] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization started
2019-05-14 14:53:00 [main-295] INFO  org.springframework.scheduling.annotation.ScheduledAnnotationBeanPostProcessor - No TaskScheduler/ScheduledExecutorService bean found for scheduled processing
2019-05-14 14:53:00 [main-306] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext initialized in 1094 ms
2019-05-14 14:53:00 [main-31] INFO  com.ky.gps.listener.GPSThreadLietener - ----------- GPS解析系统启动 -----------
2019-05-14 14:53:00 [main-40] INFO  com.ky.gps.listener.GPSThreadLietener - ----------- GPS信号监听开始 -----------
2019-05-14 14:53:00 [MyThread-25] INFO  com.ky.gps.server.StartThread - -------------监听端口GPSport: 20086-------------
2019-05-14 14:53:00 [main-524] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'springDispatcherServlet'
2019-05-14 14:53:00 [MyThread-460] WARN  io.netty.bootstrap.ServerBootstrap - Unknown channel option 'TCP_NODELAY' for channel '[id: 0x32a4dc2a]'
2019-05-14 14:53:00 [MyThread-85] INFO  com.ky.gps.server.StartThread - 监听服务开启：Thread[MyThread,5,main] Tue May 14 14:53:00 CST 2019
2019-05-14 14:53:01 [main-546] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 905 ms
2019-05-14 14:57:34 [nioEventLoopGroup-3-1-33] INFO  com.ky.gps.server.StartThread - Client: [id: 0xd70927fb, L:/60.12.85.238:20086 - R:/121.201.65.116:64711] --> 连接成功! 
2019-05-14 14:57:37 [nioEventLoopGroup-3-1-127] INFO  com.ky.gps.server.StartThread - /121.201.65.116:64711超时事件->写空闲
2019-05-14 14:57:38 [nioEventLoopGroup-3-1-38] INFO  com.ky.gps.server.StartThread - 子线程: nioEventLoopGroup-3-1 -> 发送立即定位请求:TRVDP35#
2019-05-14 14:57:40 [nioEventLoopGroup-3-1-55] INFO  com.ky.gps.server.StartThread - 接收: ServerHandler#0-->msg: PooledSlicedByteBuf(ridx: 0, widx: 7, cap: 7/7, unwrapped: PooledUnsafeDirectByteBuf(ridx: 8, widx: 8, cap: 1024))
2019-05-14 14:57:40 [nioEventLoopGroup-3-1-62] INFO  com.ky.gps.server.StartThread - 接收客户端数据:TRVCP35
2019-05-14 14:57:40 [nioEventLoopGroup-3-1-37] INFO  com.ky.gps.server.ParseGPS - GPS:null 无效信息
